Organism	Count_not_Hk	Count_Hk	Mean_Length_not_Hk	Mean_Length_Hk	Mean_Length_All	p_value_Hk_notHk	median_MYA	group_of_organism
E. coli	3672	585	949.59	828.19	932.9	5.967771e-07	3618	Bacteria
S. cerevisiae	4839	1096	1405.08	1643.82	1449.16	1.128007e-12	1275	Fungi
A. thaliana	10441	195	1934.75	2508.71	1945.27	5.602790e-13	1530	Plants
C. elegans	18359	1157	3105.43	5311.82	3236.24	8.626621e-61	686	Invertebrates
D. melanogaster	9604	4205	7309.45	6360.68	7020.54	8.181580e-47	686	Invertebrates
Gallus gallus	16748	3	34965.67	8400.00	34960.91	3.566999e-01	319	Vertebrates
O. anatinus	15544	1828	46106.82	40946.66	45563.83	2.288149e-14	180	Vertebrates
M. domestica	18459	2742	56235.14	47500.78	55105.50	5.340681e-15	160	Vertebrates
C. griseus	3339	755	21908.27	22646.78	22044.47	4.459017e-16	87	Vertebrates
M. musculus	17093	2969	49121.18	38962.45	47617.78	7.510152e-41	87	Vertebrates
Macaca mulatta	19039	2619	56613.43	55346.46	56460.22	9.298795e-32	28.8	Vertebrates
Pongo abelii	17303	2816	55984.35	48610.72	54952.28	1.709869e-26	15.2	Vertebrates
Gorilla gorilla gorilla	18287	3197	51262.80	35082.89	48855.10	2.153174e-03	8.6	Vertebrates
Pan troglodytes	19630	3039	50425.29	43911.84	49552.10	1.141252e-39	6.4	Vertebrates
Homo sapiens	17411	2163	71161.48	38733.45	67578.06	4.494188e-08	0	Vertebrates
