0610009B22Rik	Q8R3W2
0610037L13Rik	A2A8E4
0610037L13Rik	A2A8E4
1110059E24Rik	J3QQ03
1110059G10Rik	D3YWR8
1110059G10Rik	D3YWR8
1500011B03Rik	Q9CZU9
1600012H06Rik	Q6IQZ2
1600012H06Rik	Q6IQZ2
1700030K09Rik	E9Q7C0
1700123O20Rik	Q3TC60
1810009A15Rik	A0A087WQJ5
1810013L24Rik	A0A2R8VHI7
1810030O07Rik	A2BDN9
2210016L21Rik	Q3UY34
2210408I21Rik	A0A286YD44
2310033P09Rik	Q3UVP4
2610001J05Rik	F2Z3Y9
2610001J05Rik	F2Z3Y9
2610002M06Rik	Q9CQD4
2610507B11Rik	Q5SYL3
2810004N23Rik	Q9CSU7
3110040N11Rik	D6RIL2
3830406C13Rik	A0A286YE50
4833420G17Rik	A0A286YD57
4833439L19Rik	Q9DBN4
4930453N24Rik	Q9DCQ5
4931414P19Rik	A0A2I3BS37
4933434E20Rik	H7BX33
4933434E20Rik	H7BX33
4933434E20Rik	H7BX33
4933434E20Rik	H7BX33
5730455P16Rik	B1AQG3
6030458C11Rik	A0A2I3BRJ4
9130401M01Rik	A0A087WRX1
9930021J03Rik	Q8CB35
9930021J03Rik	Q8CB35
A430005L14Rik	E9PUH0
Aagab	Q8R2R3
Aak1	Q3UHJ0
Aamp	Q3TJ22
Aamp	Q3TJ22
Aar2	Q9D2V5
Aars	Q8BGQ7
Aars2	Q14CH7
Aarsd1	Q3THG9
Aasdhppt	Q9CQF6
Aatf	Q9JKX4
Abcb6	Q9DC29
Abcb7	Q61102
Abcd4	O89016
Abce1	P61222
Abcf1	Q6P542
Abcf2	Q99LE6
Abcf3	Q8K268
Abhd10	Q6PE15
Abhd11	Q8K4F5
Abhd11	Q8K4F5
Abhd16a	Q9Z1Q2
Abhd17c	Q8VCV1
Abl1	P00520
Abl2	Q4JIM5
Abtb1	Q99LJ2
Acad8	Q9D7B6
Acad9	Q8JZN5
Acap2	Q6ZQK5
Acbd3	Q8BMP6
Acbd6	Q9D061
Acbd6	Q9D061
Acbd6	Q9D061
Acd	Q5EE38
Acer3	Q9D099
Acin1	Q9JIX8
Aco1	P28271
Acot8	P58137
Acp6	Q8BP40
Actl6a	Q9Z2N8
Actr10	Q9QZB7
Actr1a	P61164
Actr1b	Q8R5C5
Actr2	P61161
Actr6	Q9D864
Actr8	Q8R2S9
Adat2	Q6P6J0
Adh5	P28474
Adipor2	Q8BQS5
Adk	P55264
Adnp2	Q8CHC8
Adprh	P54923
Adprhl2	Q8CG72
Adprm	Q99KS6
Adrm1	Q9JKV1
Adsl	P54822
Adsl	P54822
Aebp2	Q9Z248
Aebp2	Q9Z248
Aen	Q9CZI9
Afg3l1	Q920A7
Agap3	Q8VHH5
Agap3	Q8VHH5
Aggf1	Q7TN31
Agl	F8VPN4
Ago2	Q8CJG0
Agpat5	Q9D1E8
Agpat5	Q9D1E8
Agps	Q8C0I1
Ahctf1	Q8CJF7
Ahctf1	Q8CJF7
Ahsa1	Q8BK64
Aida	Q8C4Q6
Aida	Q8C4Q6
Aimp1	P31230
Aimp2	Q8R010
Aip	O08915
Aip	O08915
Aip	O08915
Aip	O08915
Ak2	Q9WTP6
Ak2	Q9WTP6
Ak3	Q9WTP7
Ak3	Q9WTP7
Akap11	Q8BSJ2
Akap11	Q8BSJ2
Akap8	Q9DBR0
Akap8l	Q9R0L7
Akirin1	Q99LF1
Akirin2	B1AXD8
Akt1	P31750
Akt3	Q9WUA6
Aldh16a1	Q571I9
Aldh4a1	Q8CHT0
Aldh9a1	Q9JLJ2
Alg13	Q9D8C3
Alg2	Q9DBE8
Alg3	Q8K2A8
Alg5	Q9DB25
Alg6	Q3TAE8
Alkbh4	Q9D8F1
Alkbh5	Q3TSG4
Alyref	O08583
Amfr	Q9R049
Amz2	Q400C8
Amz2	Q400C8
Anapc1	P53995
Anapc11	Q9CPX9
Anapc11	Q9CPX9
Anapc16	Q9CPV2
Anapc16	Q9CPV2
Anapc2	Q8BZQ7
Anapc5	Q8BTZ4
Anapc5	Q8BTZ4
Anapc5	Q8BTZ4
Anapc7	Q9WVM3
Ankfy1	Q810B6
Ankib1	Q6ZPS6
Ankle2	Q6P1H6
Ankmy2	Q3TPE9
Ankrd10	Q99LW0
Ankrd13c	Q3UX43
Ankrd17	Q99NH0
Ankrd17	Q99NH0
Ankrd40	Q5SUE8
Ankrd52	Q8BTI7
Ankrd54	Q91WK7
Anks1	P59672
Anks1	P59672
Anks3	Q9CZK6
Ankzf1	Q80UU1
Anp32a	O35381
Anp32a	O35381
Anp32a	O35381
Anp32a	O35381
Anp32b	Q9EST5
Anp32e	P97822
Anp32e	P97822
Ap1g1	P22892
Ap1m1	P35585
Ap2b1	Q9DBG3
Ap2m1	P84091
Ap2m1	P84091
Ap3b1	Q9Z1T1
Ap3d1	O54774
Ap3m1	Q9JKC8
Ap3s2	Q8BSZ2
Ap4e1	Q80V94
Ap4m1	Q9JKC7
Ap4s1	Q9WVL1
Ap5m1	Q8BJ63
Apba3	O88888
Apeh	Q8R146
Aph1a	Q8BVF7
Aph1a	Q8BVF7
Api5	O35841
Apip	Q9WVQ5
Apmap	Q9D7N9
Apopt1	Q9CQW7
Apopt1	Q9CQW7
Appbp2	Q9DAX9
Appl1	Q8K3H0
Aqr	Q8CFQ3
Araf	P04627
Arcn1	Q5XJY5
Arf1	P84078
Arf4	P61750
Arf4	P61750
Arfgap1	Q9EPJ9
Arfgap2	Q99K28
Arfgap2	Q99K28
Arfgap3	Q9D8S3
Arfgef1	G3X9K3
Arfgef2	A2A5R2
Arfip1	G5E8V9
Arfrp1	Q8BXL7
Arfrp1	Q8BXL7
Arhgap1	Q5FWK3
Arid1b	E9Q4N7
Arid2	E9Q7E2
Arih1	Q9Z1K5
Arih2	Q9Z1K6
Arl1	P61211
Arl14ep	Q8BIX3
Arl3	Q9WUL7
Arl6ip1	Q9JKW0
Arl6ip4	Q9JM93
Arl8b	Q9CQW2
Armc1	Q9D7A8
Armcx3	Q8BHS6
Armcx3	Q8BHS6
Armcx5	Q3UZB0
Arnt	P53762
Arpc2	Q9CVB6
Arpc2	Q9CVB6
Arpc5	Q9CPW4
Arpp19	P56212
Arrdc2	Q9D668
Arsa	P50428
Arv1	Q9D0U9
Asap1	Q9QWY8
Asap1	Q9QWY8
Asb8	Q91ZT9
Ascc2	Q91WR3
Ascc2	Q91WR3
Ascc3	E9PZJ8
Asf1a	Q9CQE6
Ash2l	Q91X20
Asna1	O54984
Asnsd1	Q8BFS9
Asxl1	P59598
Asxl2	Q8BZ32
Asxl2	Q8BZ32
Atad1	Q9D5T0
Atad3a	Q925I1
Atf1	P81269
Atf6	F6VAN0
Atf6b	O35451
Atf7ip	Q7TT18
Atg101	Q9D8Z6
Atg12	Q9CQY1
Atg13	Q91YI1
Atg14	Q8CDJ3
Atg16l1	Q8C0J2
Atg16l2	Q6KAU8
Atg2a	Q6P4T0
Atg2a	Q6P4T0
Atg2a	Q6P4T0
Atg2b	Q80XK6
Atg3	Q9CPX6
Atg4a	Q8C9S8
Atg4b	Q8BGE6
Atg4d	Q8BGV9
Atg5	Q99J83
Atg7	Q9D906
Atg9a	Q68FE2
Atg9a	Q68FE2
Atic	Q9CWJ9
Atl3	Q91YH5
Atmin	Q6P9S1
Atp13a1	Q9EPE9
Atp1b3	P97370
Atp5c1	Q91VR2
Atp5g1	Q9CR84
Atp5g1	Q9CR84
Atp5g3	P56384
Atp5g3	P56384
Atp5j	P97450
Atp6ap2	Q9CYN9
Atp6v0e	Q9CQD8
Atp6v0e	Q9CQD8
Atp6v1d	P57746
Atp6v1h	Q8BVE3
Atp6v1h	Q8BVE3
Atp9b	P98195
Atpaf1	Q811I0
Atpaf1	Q811I0
Atr	Q9CZ52
Atxn10	P28658
Atxn1l	P0C7T6
Atxn2	O70305
Atxn2	O70305
Atxn2l	Q7TQH0
Atxn2l	Q7TQH0
Atxn2l	Q7TQH0
