l(2)gl	P08111
galectin	C0PUZ0
CG11377	Q9VPJ0
Nhe1	Q9VPJ1
M(2)21AB	P40320
CG3164	Q8IPV3
Gs1	P20477
CG11454	Q5BIE3
CG11455	M9PBY4
CG3436	Q9VPL0
spen	Q8SX83
mRpL10	Q9VPL3
CG11490	Q9VPL5
kis	Q9VPL9
CG3645	Q9VPM1
CG11601	Q9VPM9
CG3625	Q9VPN0
CG11562	Q9VPN3
U2af38	Q94535
Hop	Q867V1
Pi3K21B	M9PAY7
Plc21C	P25455
Ent1	Q9VPP0
ebi	Q95RJ9
RpLP1	P08570
CG11885	Q9VPP7
crq	Q27367
CG4164	Q9VPQ2
MED15	Q9Y149
cbt	Q9VPQ5
lwr	Q7KNM2
Spp	Q9VPQ7
CG2789	Q9VPR1
CG2794	Q8MYS6
Nle	Q9VPR4
CG2807	Q9VPR5
Ipk2	Q8MRX9
CG2813	Q9VPR7
CG3639	Q9VPT5
CG3662	Q9VPT9
CG3862	A9UND2
dock	Q8IPW2
drongo	Q8MRM4
CG4291	Q9VPU4
kraken	O18391
aru	Q9VPU7
dbe	Q9VPU8
PNUTS	Q9VPU9
S	P42519
ast	Q9VPW1
Atg4	Q9VF80
CG4629	Q8MS09
Pino	Q9VPW8
CG4552	Q9VPW9
CG4726	Q9VPX2
Tfb4	Q9VPX4
CG4764	Q9VPX5
capt	Q9VCQ6
Tango14	Q9VPX8
CG5080	Q7K3E2
CG14341	Q8SYK1
Plap	Q9VPY2
CG5118	Q9VPY3
CG4887	Q9VPY4
CG4896	M9NDC4
CG5126	Q9VPY7
CG31935	Q9VQ26
RFeSP	Q9VQ29
cpb	P48603
CG17660	Q9VQ34
mRpL48	Q9VQ35
CG18317	Q9VQ37
Eno	P15007
CG31938	Q8IPX7
CG31937	Q9VQ39
CG17646	Q8T9E6
CG17712	Q9Y153
CG7337	Q9VQ54
CG10908	Q9VQ57
CG15356	Q9VQ58
CG7289	Q9VQ60
Got2	Q7K221
NPC2	Q9VQ62
CG4238	Q9VQ67
Su(dx)	Q9Y0H4
GlyP	Q9XTL9
tho2	Q9VQ76
CG11723	Q9VQ77
CG7261	Q9VQ78
CG7263	Q9VQ79
aop	Q01842
CG10874	E4NKL4
Uch	P35122
CG15386	Q9VQ88
mio	Q9VQ89
CG7082	Q9VQ91
l(2)s5379	Q9VQ93
CG10882	Q9VQ94
Rab5	Q9V3I2
CG4272	Q9U4G5
CG3609	Q9VQB4
CG9866	Q9VQB6
CG9867	Q9VQB7
dpp	P07713
Slh	Q24179
oaf	Q9NLA6
Cyp309a1	Q9VQD2
CG3214	Q9VQD7
p16-ARC	Q9VQD8
Drp1	Q9VQE0
CG31689	Q9VQF1
Hrs	Q960X8
Pgk	Q01604
CG9894	Q9VQF7
CG3077	B1PFJ2
aph-1	Q9VQG2
Taf10b	Q9XZT7
Taf10	Q9U5W9
colt	Q9VQG4
CG2862	Q8STA5
oho23B	O76927
CG2991	Q9VQI2
CG31694	Q9VQI5
CG8814	Q9VQI6
Prx6005	Q95SB0
CG31950	Q8IPZ7
betaggt-II	Q24173
NTPase	Q8IPZ6
lilli	Q9VQI9
Rbp9	Q24474
gammaTub23C	P23257
CG9641	Q9VQJ6
CG3165	Q9VQJ7
CG9643	Q9VQJ8
Chd1	Q7KU24
Bem46	B1PFW5
CG3558	Q9VQK0
CG17224	Q0E8U4
alpha4GT1	Q9VQK4
CG3605	Q9VQK7
CG17257	Q9VQK9
CG17259	Q9VQL1
CG17260	Q9VQL2
CG17221	Q8IPZ3
CG3523	Q9VQL7
toc	Q8IPZ2
CG12400	Q9VQM2
Mad	P42003
CG3488	Q24093
CG9663	Q8MRL3
CG34394	R9PY34
CG9662	Q9VQP9
Ptpa	Q9VQQ0
CG2774	Q9VQQ6
CG12795	Q9VQQ7
Cog3	Q961G1
CG3246	Q9VQR0
msl-2	P50534
Pdsw	Q9VQR2
Thor	Q9XZ56
CG33123	Q9VQR8
CG17593	Q9VQR9
drm	Q9VQS6
for	Q03043
CG16712	Q9VQT8
CG31777	Q8IQ06
CG2818	Q9VQU3
bowl	Q9VQU9
l(2)k16918	Q8MRQ2
CG3980	Q45EX7
CG31957	Q8IQ13
capu	Q24120
ed	Q9VQW7
Sr-CI	Q9V3H7
CG31961	Q95TP0
CG3714	Q9VQX4
CG3702	Q9VQX6
RpL40	P18101
tutl	Q967D7
Atet	Q9VQY4
CG3338	Q9VQY8
Tps1	Q9Y119
CG3652	Q9VQZ0
l(2)k05819	Q7KU45
Dim1	Q8SZ87
CG15432	Q9VQZ5
morgue	Q9Y165
Elp3	Q9VQZ6
CG15438	Q9VQZ7
CG15440	Q8SXG7
Gs1l	Q94529
RpL27A	P41092
mRpL27	Q86BM8
CG15443	Q9VR04
CG17840	Q9VR06
CG3244	Q8SZK9
CG2976	Q9VR31
CG15626	Q9VR33
CG12194	Q9VR34
CG2950	Q9VR35
CG11927	Q9VR36
mRpS2	Q8MSS7
CG11926	Q9VR38
Cf2	P20385
CG3008	Q9VR42
CG3036	Q9VR44
mRpL24	Q9VMY1
betaggt-I	Q24173
jet	Q8T0E8
CG34125	Q0E8T6
Trip1	O02195
CG8885	Q9VMX4
CG3756	Q9VMX3
l(2)05714	Q9VMX2
CG14043	Q9VMX1
mRpL28	Q9VMX0
Gmd	Q9VMW9
CG3792	Q9VMW8
CG8891	Q9VMW7
CG8892	Q7K4I5
CG34126	M9PC10
Rtnl1	Q9VMW1
CG3887	Q9VMV6
vkg	Q9VMV5
Cg25C	P08120
CG31650	Q7K1W8
CG31919	Q7KTP7
CG33995	Q2MGK7
eIF-3p40	Q9U9Q4
CG14040	Q9VMU8
His3.3A	C0HL66
Rpn11	Q9V3H2
qtc	Q9VMU5
RpL37A	Q9VMU4
pgant5	Q6WV17
CG5828	Q9VMU2
CG4230	Q9VMU1
CG8680	Q9VMU0
Msp-300	Q8T9A8
tkv	Q9VMT1
Bsg25D	P11929
Bub1	Q9VMS5
CG14023	Q8MSY0
cype	Q9VMS1
CG7382	Q9VMR0
cl	Q9VMQ9
CG7371	Q9VMQ8
CG6907	Q9VMQ7
CG31648	Q9VMQ6
CG7277	Q9VMQ5
Hel25E	Q27268
Lam	P08928
Oscillin	Q9VMP9
CG11030	Q9VMM7
CG9171	Q7JRE1
CG7239	Q9VMM3
Gpdh	P13706
CG9044	Q9VMK9
chic	P25843
eIF-4a	Q02748
ifc	Q94515
lid	Q9VMJ7
Gal	Q9VMJ5
CG9107	Q9VMJ1
mtm	Q9VMI9
ade2	P35421
slmo	Q9V3U9
CG12393	Q9VMI6
CG9135	Q9VMI5
CG9140	Q9VMI3
CG13994	Q9VMI2
CG9144	Q9VMI1
CG9147	Q9VMI0
CG13993	Q9VMH8
CG9154	Q9VMH7
Kr-h2	Q9V447
CG9175	Q9VMH4
stai	B6IDV6
Arc-p20	Q9VMH2
CG9226	Q6NL34
Gef26	Q9VMF3
Pez	Q9V3V3
Cpr	Q27597
CG9523	Q8SWV6
CG9527	Q9VMD7
retm	Q9VMD6
CG9526	Q9VMD5
CG16947	Q9VMD4
CG9531	Q9VMD3
mmy	Q8IPJ6
CG9536	Q9VMD2
Sec61alpha	Q8STG9
DLP	Q9VUG1
CG9542	Q9VMC9
epsilonCOP	Q9Y0Y5
CG9548	Q9VMC8
CG31638	Q9VMC7
CG31637	Q9VMC3
CG11015	Q9VMB9
Ent2	Q9VMB6
CG11050	Q9VMB3
CG31635	Q9VMA9
Tango1	Q9VMA7
CG31633	Q9VMA6
CG11070	Q9U4F8
Spn27A	Q9V3N1
CG34310	A8DYW4
Nhe3	D5SHT8
Tsp	B7Z030
homer	O96607
Liprin-alpha	Q9VM93
nrv1	Q24046
nrv2	Q24048
Rca1	Q9VM76
CG10354	Q9VM71
wee	P54350
xl6	Q9V3V0
nop5	Q9U5W4
Hrb27C	P48809
CG10158	Q9VM65
Gas41	Q9VM63
Coprox	Q9V3D2
smt3	O97102
snRNP70K	P17133
ade3	P00967
CG31908	Q8T9H8
Rab30	Q9VM50
CG11266	Q9VM49
milt	Q960V3
Mnn1	Q8SXU2
CG13779	Q9VM46
CG4495	A2VEI2
CG4497	Q9VM36
CG4502	Q9VM35
CG13784	Q8T9A4
Ndae1	Q9VM31
CG5149	Q9VM22
CG5171	B1PH59
CG5177	Q9VM18
CG5181	Q9VM17
CG5261	B1PGZ9
CG5958	Q9VM12
CG5973	Q9VM11
CG15819	M9PCG7
CG6630	M9PCG7
Rapgap1	Q9VM00
TepII	Q9NFV7
CG7154	Q9VLX2
CG7149	Q8T0S3
Herp	Q9VLW9
