TFC3	P34111
EFB1	P32471
MAK16	P10962
PRP45	P28004
POP5	P28005
MTW1	P39731
CDC19	P00549
CDC24	P11433
PTA1	Q01329
RFA1	P22336
SEN34	P39707
CDC15	P27636
HTA2	P04912
UTP20	P35194
RRN6	P32786
POP8	P38208
RFT1	P38206
MCM2	P29469
LSM2	P38203
PET9	P18239
STU1	P38198
POL12	P38121
ERD2	P18414
PRE7	P23724
SEC17	P32602
AAR2	P32357
ILS1	P09436
CDC27	P38042
RPL32	P14120
BRN1	P38170
SFT2	P38166
PKC1	P24583
RER2	P35196
GPI18	P38211
HHF1	P02309
IPP1	P00817
SCO2	P38072
CDS1	P38221
CHS2	P14180
REB1	P21538
PRP6	P19735
TSC3	Q3E790
ORC2	P32833
ALG14	P38242
RPG1	P38249
SEC18	P18759
RFC5	P38251
POL30	P15873
EXO84	P38261
CMD1	P06787
ALG1	P16661
GRS1	P38088
TFC1	P32367
CKS1	P20486
MEC1	P38111
IRA1	P18963
MAK5	P38112
SUP45	P12385
SPP381	P38282
RIB7	P33312
RPB5	P20434
CNS1	P33313
AMN1	P38285
CDC28	P00546
POP7	P38291
RIM2	P38127
MED8	P38304
PGI1	P12709
TAF5	P38129
MCM7	P38132
AME1	P38313
DAD3	P69850
ARC40	P38328
ABD1	P32783
PRP5	P21372
ALG7	P07286
ENP1	P38333
DUT1	P33317
SRB6	P32570
TRS20	P38334
RIB5	P38145
POP4	P38336
TSC10	P38342
PGS1	P25578
NFS1	P25374
RRP7	P25368
PDI1	P17967
PBN1	P25580
SPB1	P25582
KRR1	P25586
HMLALPHA2	P0CY09
PGK1	P00560
RRP43	P25359
MATALPHA2	P0CY08
RSC6	P25632
CTR86	P25355
PWP2	P25635
RSA4	P25382
CDC39	P25655
HMRA2	P0CY13
MCD1	Q12158
ATP16	Q12165
RPT2	P40327
APC11	Q12157
SLX5	P32828
NOP1	P15646
TSC13	Q99190
CDC7	P06243
MPS1	P54199
ARP2	P32381
PRP9	P19736
DBP10	Q12389
PRP11	Q07350
FAD1	P38913
PSA1	P41940
USO1	P25386
TSR1	Q07381
UBC9	P50623
COX9	P07255
SUB2	Q07478
LUC7	Q07508
SRP14	P38985
RPN6	Q12377
SNU23	Q12368
POL3	P15436
QRI1	P43123
NSE4	P43124
KIN28	P06242
RRP42	Q12277
YFH1	Q07540
CDC48	P25694
CDC53	Q12018
SCM3	Q12334
RPO21	P04050
BPL1	P48445
CCT4	P39078
COP1	P53622
RPN5	Q12250
NOP14	Q99207
RPC53	P25441
SAS10	Q12136
CLB3	P24870
CDC9	P04819
CDC36	P06100
FAP7	Q12055
NUS1	Q12063
SEC31	P38968
HEM3	P28789
GLE1	Q12315
NHP2	P32495
CWC2	Q12046
SHR3	Q02774
TIM22	Q12328
CDC13	P32797
YPD1	Q07688
YRB1	P41920
PSF1	Q12488
DAD1	Q12248
FAL1	Q12099
SES1	P07284
KRS1	P15180
RSM10	Q03201
HEM13	P11353
RPC11	Q04307
HEM12	P32347
TPI1	P00942
DBF4	P32325
CDC34	P14682
MAK21	Q12176
LCB2	P40970
RPS13	P05756
PDC2	P32896
STN1	P38960
SSS1	P35179
RRP1	P35178
SLU7	Q02775
RLI1	Q03195
PDS1	P40316
APC4	Q04601
INO2	P26798
DOP1	Q03921
TAF12	Q03761
CTH1	P47976
SSY1	Q03770
SEC1	P30619
SEC5	P89102
TAF10	Q12030
CDC37	P06101
SEC7	P11075
SUP35	P05453
UBC1	P21734
SCC2	P23285
CDC1	P40986
CCT6	P39079
SLY1	P22213
RVB1	Q03940
CAB5	Q03941
SPC19	Q03954
MSS4	P38994
GCD6	P32501
TCP1	P12612
HTB1	P02293
PCF11	P39081
COX20	Q04935
HEM1	P09950
RTN1	Q04947
PRP42	Q03776
FMN1	Q03778
SEC26	P41810
SNU56	Q03782
PRP28	P23394
TRS23	Q03784
CIA1	P32447
RRP45	Q05636
NSE3	Q05541
SRP101	P32916
BFR2	Q06631
CFT1	Q06632
GPI11	Q06636
RSC3	Q06639
SRB7	P47822
TFB1	P32776
UTP4	Q06679
YCG1	Q06680
SKP1	P52286
GPI8	P49018
FCF1	Q05498
YDR341C	Q05506
TRR1	P29509
SPC110	P32380
BCP1	Q06338
TFC6	Q06339
ESF1	Q06344
KEI1	Q06346
FRQ1	Q06389
ARH1	P48360
YRA1	Q12159
SAC7	P17121
UBA2	P52488
RPT3	P33298
NCB2	Q92317
UTP5	Q04177
RPB7	P34087
TRS120	Q04183
RRP17	Q04031
SYF1	Q04048
RPN9	Q04062
TIF35	Q04067
GPI17	Q04080
GPI19	Q04082
UTP6	Q02354
GUK1	P15454
TFB3	Q03290
SPP41	P38904
TLG1	Q03322
UGO1	Q03327
TRS31	Q03337
PRP3	Q03338
SNM1	P30620
RIB3	Q99258
SLD5	Q03406
SEC20	P28791
LCD1	Q04377
PSP1	P50896
SMT3	Q12306
RBA50	Q04418
CAB1	Q04430
WBP1	P33767
MMS21	P38632
SNU13	P39990
MCM3	P24279
HYP2	P23301
UTR5	P32630
POL5	P39985
PCM1	P38628
PMI40	P29952
YND1	P40009
NUG1	P40010
SEC3	P33332
NTF2	P33331
PRE1	P22141
PRP22	P24384
BIM1	P40013
SPC25	P40014
RPN3	P40016
SRB4	P32569
PRO3	P32263
GCD11	P32481
ARB1	P40024
KRE29	P40026
SAH1	P39954
ISD11	Q6Q560
FCY21	P40039
YOS1	Q3E834
UTP7	P40055
TSC11	P40061
PUP3	P25451
RTT105	P40063
MAM1	P40065
LSM4	P40070
RSP5	P39940
NSA2	P40078
LCP5	P40079
GLC7	P32598
GDI1	P39958
LSM5	P40089
SCC4	P40090
SPT15	P13393
COG3	P40094
BUR6	P40096
PAB1	P04147
CCA1	P21269
RAD3	P06839
BRR2	P32639
SPB4	P25808
SEC4	P07560
SMC1	P32908
CDC4	P07834
GNA1	P43577
SMX2	P40204
FRS2	P15625
EPL1	P43572
CAK1	P43568
MOB2	P43563
TUB2	P02557
YPT1	P01123
ACT1	P60010
SEC53	P07283
NIC96	P34077
YPI1	P43587
RPN11	P43588
SAD1	P22216
ECO1	P43605
CDC14	Q00684
PTR3	P43606
SMC2	P38989
RSC8	P43609
KEG1	P43614
PRE4	P30657
RET2	P43621
RPN12	P32496
ERG26	P53199
PMA1	P05030
SCL1	P21243
PUF4	P25339
JAC1	P53193
STT3	P39007
RPL30	P14120
HEM2	P05373
RNA15	P25299
ALG13	P53178
RPT6	Q01939
OLE1	P21147
DUO1	P53168
ALG2	P43636
MNP1	P53163
HSF1	P10961
