ARF5	P84085
M6PR	P20645
RALA	P11233
DVL2	O14641
RHBDD2	Q6NTF9
TSR3	Q9UJK0
NDUFAB1	O14561
RPS20	P60866
RANBP9	Q96P70
SS18L2	Q9UHA2
PPP5C	P53041
COX15	Q7KZN9
VDAC3	Q9Y277
RTF2	Q9BY42
B4GALT7	Q9UBV7
GABARAPL2	P60520
MRPS10	P82664
GRN	P28799
VAMP3	Q15836
RCN1	Q15293
FAM168A	Q92567
CDC27	P30260
RPL18	Q07020
ISOC2	Q96AB3
EPN1	Q9Y6I3
GPKOW	Q92917
KDM4B	O94953
FOXJ2	Q9P0K8
GOLGA5	Q8TBA6
PPP2R5B	Q15173
REXO1	Q8N1G1
MKRN2	Q9H000
LAPTM4A	Q15012
NDUFB4	O95168
ERLEC1	Q96DZ1
TMEM131	Q92545
DELE1	Q14154
PLOD1	Q02809
RPS5	P46782
RRN3	Q9NYV6
DIMT1	Q9UNQ2
EIF2AK1	Q9BQI3
MRPL28	Q13084
LAMP2	P13473
TMEM230	Q96A57
MLF2	Q15773
PDCD7	Q8N8D1
GNPTG	Q9UJJ9
DLD	P09622
SPAG7	O75391
TMEM101	Q96IK0
PSME1	Q06323
DHPS	P49366
PSMD5	Q16401
TMED1	Q13445
BCL7C	Q8WUZ0
NDUFB7	P17568
TIMM13	Q9Y5L4
CDC34	P49427
SNAP29	O95721
MIF	P14174
SNRPD3	P62318
MAPK1	P28482
CBY1	Q9Y3M2
TOMM22	Q9NS69
RTCB	Q9Y3I0
JOSD1	Q15040
GTPBP1	O00178
TAB1	Q15750
MYH9	P35579
TXN2	Q99757
EIF3D	O15371
ST13	P50502
RBX1	P62877
PHF5A	Q7RTV0
PMM1	Q92871
CERK	Q8TCT0
PAPOLA	P51003
SOS2	Q07890
PIGH	Q14442
PSMA3	P25788
AHSA1	O95433
PABPN1	Q86U42
PSME2	Q9UL46
PNN	Q9H307
GSS	P48637
CTSZ	Q9UBR2
CHMP4B	Q9H444
AHCY	P23526
MYL12A	P19105
TAF9	Q16594
IDH3G	P51553
PSMD10	O75832
PGRMC1	O00264
WDR13	Q9H1Z4
USP11	P51784
HTATSF1	O43719
C16orf70	Q9BSU1
ARL2BP	Q9Y2Y0
POLR2C	P19387
USB1	Q9BQ65
PSMD7	P51665
PLA2G15	Q8NCC3
STUB1	Q9UNE7
MAZ	P56270
CDIPT	O14735
BCKDK	O14874
KAT8	Q9H7Z6
BRF2	Q9HAW0
EIF3E	P60228
EMC2	Q15006
DCTN6	O00399
PPP2CB	P62714
KCTD9	Q7L273
PAF1	Q8N7H5
ECH1	Q13011
SNRNP70	P08621
PPP1R37	O75864
SF3A2	Q15428
AES	Q08117
SGTA	O43765
FIZ1	Q96SL8
FBL	P22087
POLR2I	P36954
CCDC9	Q9Y3X0
RPS19	P39019
CDC37	Q16543
RABAC1	Q9UI14
WDR83OS	Q9Y284
DNASE2	O00115
LENG1	Q96BZ8
RPL18A	Q02543
TMEM147	Q9BVK8
USF2	Q15853
KXD1	Q9BQD3
FKBP8	Q14318
GSK3A	P49840
OGDH	Q02218
H2AFV	Q71UI9
BUD31	P41223
WASL	O00401
PLOD3	O60568
FIS1	Q9Y3D6
PSMA2	P25787
MRPL32	Q6P1L8
YKT6	O15498
CHMP5	Q9NZZ3
