AT1G01020	Q5MK24
AT1G01210	A0A384LJI7
AT1G01210	A0A384LJI7
AT1G01290	Q39056
AT1G01350	Q8GX84
AT1G01710	F4HU51
AT1G01990	Q9LPC2
AT1G02020	O23673
AT1G02145	A8MR93
AT1G02420	Q9FZ19
AT1G03150	Q8LGI8
AT1G03350	Q9ZVT6
AT1G03760	A0A178W6X7
AT1G04010	Q4VCM1
AT1G04100	Q38828
AT1G04230	Q94K10
AT1G04590	Q9C5I2
AT1G04635	Q6AWV1
AT1G05087	A0A1P8AV76
AT1G05780	Q58G56
AT1G05970	Q9LNE8
AT1G06060	Q9LNE1
AT1G06140	Q9LND4
AT1G06143	Q56X05
AT1G06230	Q9LNC4
AT1G06470	Q8H184
AT1G07740	Q9LQQ1
AT1G07950	Q8LCH5
AT1G07960	Q8GYD1
AT1G07960	Q8GYD1
AT1G07980	Q9LN09
AT1G08280	Q9SGD2
AT1G08400	Q8GXP1
AT1G08680	Q8RXE7
AT1G08710	Q9CAZ0
AT1G09150	A0A178WGM6
AT1G09190	O80488
AT1G09800	F4I2L0
AT1G09920	Q8L7A5
AT1G10280	Q9SY70
AT1G10520	Q9FNY4
AT1G10970	O04089
AT1G11630	Q9SAB4
AT1G11760	Q84VW5
AT1G11900	Q5BIV3
AT1G12350	Q8GXR5
AT1G12620	Q9ASZ8
AT1G12775	Q9LPX2
AT1G13410	Q0WVP2
AT1G14310	Q9M9T1
AT1G14570	Q94JZ8
AT1G14910	P94017
AT1G15160	F4HZH9
AT1G15710	Q9LMR3
AT1G16010	Q9S9N4
AT1G16430	Q9SA42
AT1G17070	Q9SHG6
AT1G17130	Q9SHH1
AT1G17450	A0A654EAQ6
AT1G17520	F4I7L1
AT1G18090	Q94A33
AT1G18560	F4ICA1
AT1G19080	Q6NNH6
AT1G20270	Q9LN20
AT1G20575	Q9LM93
AT1G20770	Q9LM77
AT1G20770	Q9LM77
AT1G21580	P0C945
AT1G22870	F4I313
AT1G22880	Q2V4L8
