Gene stable ID	Transcript stable ID	UniProtKB/Swiss-Prot ID	UniProtKB/TrEMBL ID	Gene start (bp)	Gene end (bp)
ENSMMUG00000023296	ENSMMUT00000032773		I0FQU3	8231	26653
ENSMMUG00000000634	ENSMMUT00000000911		A0A8J8XYE8	71582	83178
ENSMMUG00000000634	ENSMMUT00000000911		H9EVE4	71582	83178
ENSMMUG00000000634	ENSMMUT00000094839		A0A8J8XYE8	71582	83178
ENSMMUG00000000634	ENSMMUT00000094839		H9EVE4	71582	83178
ENSMMUG00000000634	ENSMMUT00000000912		F6XTC7	71582	83178
ENSMMUG00000037875	ENSMMUT00000000909		F6Y0I4	81258	91679
ENSMMUG00000037875	ENSMMUT00000086541		F6Y0I4	81258	91679
ENSMMUG00000037875	ENSMMUT00000076044		F6Y0I4	81258	91679
ENSMMUG00000000632	ENSMMUT00000000907		F6Y0K6	102662	117835
ENSMMUG00000000632	ENSMMUT00000067005		A0A1D5R808	102662	117835
ENSMMUG00000000632	ENSMMUT00000072117		A0A1D5QEF4	102662	117835
ENSMMUG00000064799	ENSMMUT00000085924		A0A5F8AEC2	122996	124202
ENSMMUG00000057389	ENSMMUT00000085307		A0A5F7ZI48	170939	185687
ENSMMUG00000057389	ENSMMUT00000088433		A0A8J8Y0L5	170939	185687
ENSMMUG00000057389	ENSMMUT00000088433		F7HLJ9	170939	185687
ENSMMUG00000031200	ENSMMUT00000066249		A0A5F7ZI49	211380	222144
ENSMMUG00000031200	ENSMMUT00000044548		A0A5F7ZNY7	211380	222144
ENSMMUG00000031200	ENSMMUT00000089114		A0A5F8A5I2	211380	222144
ENSMMUG00000052613	ENSMMUT00000082745		A0A5F7ZEC1	231609	247928
ENSMMUG00000031199	ENSMMUT00000027267		F6RH00	326171	327124
ENSMMUG00000053841	ENSMMUT00000104666		A0A5F8A649	337714	338797
ENSMMUG00000049101	ENSMMUT00000054747		A0A1D5R8U5	386873	387811
ENSMMUG00000017368	ENSMMUT00000024422		F7H8Y9	429756	430706
ENSMMUG00000055842	ENSMMUT00000103326		A0A5F7ZXF5	449228	450163
ENSMMUG00000062331	ENSMMUT00000082351		A0A5F8ADL8	529177	530094
ENSMMUG00000049901	ENSMMUT00000098383		A0A5F8AI06	552254	553201
ENSMMUG00000064657	ENSMMUT00000088670		G7MFG3	618274	619248
ENSMMUG00000064657	ENSMMUT00000088670		A0A8J8XQI1	618274	619248
ENSMMUG00000005566	ENSMMUT00000058794		A0A1D5Q7D7	645437	646546
ENSMMUG00000064874	ENSMMUT00000095732		A0A5F8AR06	661164	662090
ENSMMUG00000039595	ENSMMUT00000014496		A0A1D5QNA1	710011	710949
ENSMMUG00000038524	ENSMMUT00000001109		F6QRX6	769522	770457
ENSMMUG00000038524	ENSMMUT00000001109		A0A8J8XPS3	769522	770457
ENSMMUG00000049432	ENSMMUT00000085285		A0A5F8A9C6	825399	826361
ENSMMUG00000050812	ENSMMUT00000089744		A0A5F8AFF1	833912	835873
ENSMMUG00000059065	ENSMMUT00000024892		F6U325	848726	849664
ENSMMUG00000053957	ENSMMUT00000100177		A0A5F7ZBM8	874840	875778
ENSMMUG00000057748	ENSMMUT00000104725		A0A5F8A5Z3	895998	896936
ENSMMUG00000050041	ENSMMUT00000107198		A0A5F8ASX9	907326	908264
ENSMMUG00000052261	ENSMMUT00000086404		A0A5F7ZN36	931817	932755
ENSMMUG00000060886	ENSMMUT00000057647		A0A1D5QPR9	984122	985060
ENSMMUG00000062168	ENSMMUT00000105592		A0A5F8A3V0	1003761	1004699
ENSMMUG00000056262	ENSMMUT00000083994		A0A5F7ZG07	1080903	1102802
ENSMMUG00000038159	ENSMMUT00000007832		F7GB45	1146217	1147161
ENSMMUG00000005570	ENSMMUT00000007831		F7GB58	1160011	1180468
ENSMMUG00000006214	ENSMMUT00000008692		A0A1D5RCJ6	1198069	1223285
ENSMMUG00000056211	ENSMMUT00000101037		A0A5F8AEE6	1217358	1220851
ENSMMUG00000049478	ENSMMUT00000109069		A0A5F8AHF8	1229179	1230054
ENSMMUG00000062849	ENSMMUT00000098742		A0A5F8ABE5	1251363	1252322
ENSMMUG00000064145	ENSMMUT00000088481		A0A5F8ACC2	1278606	1279550
ENSMMUG00000059455	ENSMMUT00000086075		A0A5F7ZYX9	1290883	1292883
ENSMMUG00000016175	ENSMMUT00000022726		F7FTC9	1302679	1303605
ENSMMUG00000016176	ENSMMUT00000022727		F7FTC4	1334218	1335141
ENSMMUG00000016176	ENSMMUT00000022727		A0A8J8YS44	1334218	1335141
ENSMMUG00000058340	ENSMMUT00000109500		A0A5F8APB3	1390572	1391542
ENSMMUG00000005955	ENSMMUT00000080009		A0A5F7ZK97	1441551	1493490
ENSMMUG00000005955	ENSMMUT00000008337		F6UUS6	1441551	1493490
ENSMMUG00000012954	ENSMMUT00000018164		A0A1D5RB56	1480123	1481145
ENSMMUG00000060427	ENSMMUT00000098900		A0A5F8AJZ4	1493737	1495197
