WBGene00004408	Q93572
WBGene00002005	P09446
WBGene00006519	Q20779
WBGene00000366	P34545
WBGene00000122	Q21559
WBGene00011953	P49596
WBGene00012337	Q23215
WBGene00008852	G5EFF7
WBGene00010809	Q21452
WBGene00019900	Q21752
WBGene00001748	P48727
WBGene00004452	O17570
WBGene00012553	P55954
WBGene00002845	Q20937
WBGene00004470	P48154
WBGene00008505	P40614
WBGene00004167	G2HK03
WBGene00005009	O17582
WBGene00022170	Q9BL34
WBGene00008549	G5EGK6
WBGene00012376	Q94360
WBGene00002344	P35129
WBGene00012354	Q9U329
WBGene00009454	P90860
WBGene00004110	O01505
WBGene00022473	Q95Y80
WBGene00010965	P24894
WBGene00012471	A8XJ46
WBGene00013730	D0Z5P0
WBGene00016173	A0A1N7SYQ6
WBGene00003827	Q9GYQ9
WBGene00008262	O17694
WBGene00013343	Q9GRZ2
WBGene00003947	Q966I8
WBGene00022015	Q8MXS5
WBGene00004483	P48150
WBGene00004482	P51404
WBGene00004409	P91913
WBGene00004441	P91914
WBGene00012528	Q9U2P3
WBGene00017121	P19974
WBGene00004438	P48162
WBGene00000371	P90849
WBGene00004436	O01868
WBGene00019061	Q09544
WBGene00004930	P34697
WBGene00004421	Q09533
WBGene00013463	Q95PZ1
WBGene00010964	P24893
WBGene00009012	G5EE80
WBGene00017925	Q9GYI1
WBGene00004410	Q9U1X9
WBGene00013545	Q9XW73
WBGene00001160	O01991
WBGene00000231	G5ED29
WBGene00006439	O45865
WBGene00002295	Q93442
WBGene00004465	Q22253
WBGene00023068	A0A0M6VD87
WBGene00001999	Q22037
WBGene00004498	P90983
WBGene00022336	Q9BKS0
WBGene00011015	Q21732
WBGene00006536	O17921
WBGene00019893	Q21746
WBGene00004495	O45499
WBGene00004456	Q9U2A8
WBGene00011273	Q22021
WBGene00011735	G5EE04
WBGene00000158	Q8WQB3
WBGene00004430	O45946
WBGene00020181	Q9N5E4
WBGene00022119	Q9N4H7
WBGene00004783	A9D2P7
WBGene00006728	P49632
WBGene00001427	Q9U2Q8
WBGene00016405	V6CLA2
WBGene00006579	P34314
WBGene00020102	Q8ITY8
WBGene00004700	Q9NEW6
WBGene00004101	Q17796
WBGene00006725	P37165
WBGene00006460	Q19775
WBGene00004152	Q7JLH5
WBGene00004453	P52814
WBGene00009587	A6ZJ71
WBGene00012121	Q22847
WBGene00016650	A0A0S4XR36
WBGene00006941	X5M5N0
WBGene00001019	Q17438
WBGene00010923	O45962
WBGene00003476	Q22712
WBGene00004418	O01802
WBGene00002889	O01737
WBGene00014025	P30632
WBGene00018285	H2KYN7
WBGene00010369	O17909
WBGene00021562	Q9N4Y8
WBGene00022580	P34595
WBGene00003831	Q17880
WBGene00003218	Q21502
WBGene00017274	H2KZP2
WBGene00004485	Q22054
WBGene00004431	O02639
WBGene00004486	O01692
WBGene00004443	D3YT71
WBGene00022069	Q9GUP2
WBGene00004450	P49181
WBGene00004434	P52819
WBGene00009712	Q20412
WBGene00004480	Q20206
WBGene00000230	P91283
WBGene00004095	Q10124
WBGene00010962	P24891
WBGene00002202	P42168
WBGene00000833	P34575
WBGene00002191	P18334
WBGene00015555	Q17750
WBGene00001561	Q65CL5
WBGene00001037	O16303
WBGene00004469	P46769
WBGene00002000	Q9NLD1
WBGene00004448	A3QMC5
WBGene00004491	O17218
WBGene00003374	A0A0K3AV08
WBGene00004494	P52821
WBGene00019698	O44959
WBGene00004429	Q9BL19
WBGene00004449	P34662
WBGene00003009	Q09990
WBGene00015810	Q18036
WBGene00004413	Q9XVF7
WBGene00011240	Q21920
WBGene00002717	X5M5M2
WBGene00004143	O61708
WBGene00009688	Q9XU97
WBGene00015391	Q09508
WBGene00013347	Q9GRY9
WBGene00004484	Q9XVP0
WBGene00012769	B9WRU1
WBGene00012348	O18178
WBGene00004490	P49197
WBGene00012472	M1Z844
WBGene00000390	Q05062
WBGene00012031	P90795
WBGene00012735	Q9XW26
WBGene00020950	O45148
WBGene00007009	Q9N2Z7
WBGene00006699	Q3S1J5
WBGene00004479	O01869
WBGene00020868	Q967F1
WBGene00006932	Q9TXI7
WBGene00022059	U4PS34
WBGene00017419	Q95ZV3
WBGene00004475	Q9NEN6
WBGene00021868	Q9BMU4
WBGene00021765	B5D5N6
WBGene00013599	Q9U1Q0
WBGene00012344	P91917
WBGene00020346	Q9BIC2
WBGene00011629	Q8T3D2
WBGene00003924	Q9N599
WBGene00019301	P34492
WBGene00002066	Q21531
WBGene00001503	O17214
WBGene00004705	Q9XTZ2
WBGene00020679	O61199
WBGene00004503	P46502
WBGene00004415	O02056
WBGene00021685	W6RY72
WBGene00004499	Q18231
WBGene00011775	Q22498
WBGene00005015	Q21338
WBGene00004426	Q9XVE9
WBGene00019888	Q21747
WBGene00013094	Q9XWJ6
WBGene00007703	G5EGS5
WBGene00004489	Q8WQA8
WBGene00004420	Q95Y90
WBGene00003905	Q9XW10
WBGene00003923	Q27488
WBGene00004980	Q03563
WBGene00000101	Q18930
WBGene00001562	D3YT69
WBGene00019537	Q8MXU9
WBGene00005077	G5EE56
WBGene00003052	Q21443
WBGene00004460	Q04908
WBGene00015007	H2KY60
WBGene00008750	K8F807
WBGene00003901	Q09543
WBGene00017373	A0A5S9MML0
WBGene00007630	Q09254
WBGene00016493	O01504
WBGene00004204	G5EF53
WBGene00004414	P50880
WBGene00021883	G5EBI0
WBGene00004755	Q19371
WBGene00007042	Q565A2
WBGene00022089	Q95XJ0
WBGene00009119	Q93576
WBGene00009161	O18687
WBGene00010794	O17953
WBGene00017138	Q09299
WBGene00013365	Q9U1Y8
WBGene00022599	Q23280
WBGene00007030	G5EC14
WBGene00007227	P46012
WBGene00000182	Q10943
WBGene00021350	Q9BKU5
WBGene00004488	O18650
WBGene00004879	O01510
WBGene00001226	O02328
WBGene00018857	Q94239
WBGene00004497	Q95Y04
WBGene00003582	O62255
WBGene00001955	P34474
WBGene00004754	Q9U2Z1
WBGene00004132	Q20898
WBGene00014086	Q23597
WBGene00004768	Q20798
WBGene00007350	P53596
WBGene00013606	G5ED41
WBGene00004477	P48156
WBGene00004432	O44480
WBGene00006529	P34690
WBGene00006565	Q9U1W1
WBGene00004161	A0A0K3AX73
WBGene00007027	Q9NEL2
WBGene00004428	Q27389
WBGene00010199	Q20947
WBGene00010840	H2FLG5
WBGene00003902	Q9U302
WBGene00012578	Q9U2M8
WBGene00018426	Q8MXK1
WBGene00004446	Q22716
WBGene00007683	Q18093
WBGene00000879	P52011
WBGene00004478	Q20228
WBGene00006698	A0A0K3AXF6
WBGene00007352	P54811
WBGene00004454	P48166
WBGene00018395	H2KYJ5
WBGene00010480	G5EF83
WBGene00001215	G5EBN5
WBGene00011510	P52899
WBGene00011729	G5EGI1
WBGene00004474	P49041
WBGene00001520	Q93873
WBGene00003898	Q9XXE6
WBGene00012179	O62388
WBGene00001080	Q9GRZ3
WBGene00010427	G5ED17
WBGene00018953	A0A486WY26
WBGene00010963	P24892
WBGene00012730	Q9BHK7
WBGene00010406	Q7JKC3
WBGene00010631	A0A486WY88
WBGene00021956	Q95XV3
WBGene00006433	Q09545
WBGene00021292	Q9TYL9
WBGene00019259	V6CJY2
WBGene00004424	P61866
WBGene00003162	O02640
WBGene00003225	P41956
WBGene00008053	P54812
WBGene00022134	G4SPY1
WBGene00012245	G5EE97
WBGene00021857	G5EGT7
WBGene00000915	Q18688
WBGene00001574	Q94361
WBGene00000376	G5EE09
WBGene00010842	P54813
WBGene00004444	Q9XWS4
WBGene00007192	Q17512
WBGene00003952	P34286
WBGene00009187	Q93615
WBGene00011059	O62337
WBGene00012994	A0A7R9SV91
WBGene00004425	P91128
WBGene00004476	Q23312
WBGene00022347	Q9BKS2
WBGene00015943	Q95QV8
WBGene00002363	G5EGK8
WBGene00004698	Q23121
WBGene00003951	Q9XUV0
WBGene00021474	Q6AW06
WBGene00008878	G5ECH5
WBGene00004412	Q9N4I4
WBGene00003025	Q76NP4
WBGene00020398	Q9TZI1
WBGene00005026	Q09363
WBGene00004445	Q9U332
WBGene00010957	P24885
WBGene00021423	U4PC56
WBGene00000475	G5EDV3
WBGene00004317	Q93538
WBGene00004447	P49180
WBGene00016115	H2KYV0
WBGene00004138	Q21793
WBGene00004496	Q9TXP0
WBGene00009584	Q20237
WBGene00009264	Q93641
WBGene00009122	Q93573
WBGene00004807	G5ECU1
WBGene00003916	Q9TW45
WBGene00004189	Q22620
WBGene00001971	G5EFV4
WBGene00022800	P34675
WBGene00004459	Q18115
WBGene00004506	Q9XTT9
WBGene00010966	P24895
WBGene00007385	Q17763
WBGene00006595	O17966
WBGene00016868	Q22944
WBGene00010732	Q564S2
WBGene00012468	Q9XXH7
WBGene00003927	O44156
WBGene00001017	L8E938
WBGene00004728	H2KZU6
WBGene00007433	Q09441
WBGene00005648	G5EBT3
WBGene00012094	O45864
WBGene00021561	Q9GUI5
WBGene00001225	Q9XWI6
WBGene00010326	Q93831
WBGene00013718	Q9U300
WBGene00004423	Q19162
WBGene00010556	Q21215
WBGene00011966	Q22705
WBGene00004427	P91374
WBGene00012386	G5EFH7
WBGene00015248	O44441
WBGene00004416	P49405
WBGene00013307	Q9U202
WBGene00001081	Q20497
WBGene00000199	Q9N4I0
WBGene00004473	Q9N3X2
WBGene00010961	P24889
WBGene00000938	G5ED89
WBGene00009440	Q20049
WBGene00017778	Q8I7K5
WBGene00010639	I7J4C6
WBGene00004492	Q19877
WBGene00021753	H2L0P0
WBGene00022078	H2L0S0
WBGene00000883	P52015
WBGene00010967	P24896
WBGene00004419	Q966C6
WBGene00015501	Q5TYK5
WBGene00000829	P24890
WBGene00007443	Q17827
WBGene00009460	G5EDT9
WBGene00011604	G5EBK0
WBGene00015734	Q09236
WBGene00020762	Q2WF59
WBGene00000534	G5ECM9
WBGene00016326	P91133
WBGene00001510	A0A7R9SW82
WBGene00002185	Q8WQC4
WBGene00010908	K8FE02
WBGene00022738	Q7Z145
WBGene00000459	Q19720
WBGene00008274	X5LQ14
WBGene00020097	D5MCN2
WBGene00022114	Q9N4I3
WBGene00010960	P24888
WBGene00013168	U4PR70
WBGene00004493	Q1XFY9
WBGene00021539	Q9N3Y3
WBGene00019504	Q965K0
WBGene00004266	Q9UAQ6
WBGene00010959	P24887
WBGene00020214	A0A168HBV3
WBGene00018512	Q9BI63
WBGene00010260	Q9XUW5
WBGene00017984	O16294
WBGene00021351	Q9BKU3
WBGene00012158	G5ED31
WBGene00020275	O16517
WBGene00007053	O61845
WBGene00011110	Q21824
WBGene00009739	O45525
WBGene00000763	O18235
WBGene00004472	P48152
WBGene00021545	A0A0K3AX31
WBGene00007091	Q17415
WBGene00012983	Q9U296
WBGene00016496	Q22918
WBGene00021827	Q9N3F1
WBGene00004440	Q19869
WBGene00016250	Q05036
WBGene00013677	G5ED95
WBGene00016002	Q09237
WBGene00011304	Q8I113
WBGene00017098	Q8MXD9
WBGene00010419	Q9XXK1
WBGene00001747	Q27497
WBGene00021839	Q9N3D9
WBGene00008094	G5EE16
