Genename	Uniprot_id	Length	Polyx_count	Polyx_types	Polyx_lengths	Total_length	Pption_polyx	Count_grouped	Hk
yohP	C1P609	27	0	-	0	0	0	0	0
frdA	P00363	602	0	-	0	0	0	0	0
glgB	P07762	728	0	-	0	0	0	0	0
motA	P09348	295	0	-	0	0	0	0	1
grpE	P09372	197	0	-	0	0	0	0	1
htpG	P0A6Z3	624	0	-	0	0	0	0	0
infC	P0A707	180	0	-	0	0	0	0	1
mntH	P0A769	412	0	-	0	0	0	0	0
plsB	P0A7A7	807	0	-	0	0	0	0	0
rplA	P0A7L0	234	0	-	0	0	0	0	0
yaeP	P0A8K5	66	0	-	0	0	0	0	0
slyX	P0A8R4	72	0	-	0	0	0	0	0
hdfR	P0A8R9	279	0	-	0	0	0	0	0
ompW	P0A915	212	0	-	0	0	0	0	0
rimI	P0A944	148	0	-	0	0	0	0	1
cadA	P0A9H3	715	0	-	0	0	0	0	0
napD	P0A9I5	87	0	-	0	0	0	0	0
gpt	P0A9M5	152	0	-	0	0	0	0	0
ptsO	P0A9N0	90	0	-	0	0	0	0	0
adhE	P0A9Q7	891	0	-	0	0	0	0	0
znuC	P0A9X1	251	0	-	0	0	0	0	0
rluA	P0AA37	219	0	-	0	0	0	0	1
mdlB	P0AAG5	593	0	-	0	0	0	0	0
hybG	P0AAM7	82	0	-	0	0	0	0	1
fbaA	P0AB71	359	0	-	0	0	0	0	1
fliG	P0ABZ1	331	0	-	0	0	0	0	0
gnsA	P0AC92	57	0	-	0	0	0	0	0
pheL	P0AD72	15	0	-	0	0	0	0	0
fabY	P0ADQ2	329	0	-	0	0	0	0	0
yhbW	P0ADV5	335	0	-	0	0	0	0	0
cpxA	P0AE82	457	0	-	0	0	0	0	0
dppB	P0AEF8	339	0	-	0	0	0	0	0
mdaB	P0AEY5	193	0	-	0	0	0	0	0
lsrD	P0AFS1	330	0	-	0	0	0	0	0
insC6	P0CF45	121	0	-	0	0	0	0	0
ytiD	P0DPC5	47	0	-	0	0	0	0	0
yacM	P0DPM6	14	0	-	0	0	0	0	0
yqgG	P0DSG2	47	0	-	0	0	0	0	0
ykiE	P0DSH9	22	0	-	0	0	0	0	0
ykfO	P0DUW0	10	0	-	0	0	0	0	0
fes	P13039	400	0	-	0	0	0	0	0
entA	P15047	248	0	-	0	0	0	0	0
phnD	P16682	338	0	-	0	0	0	0	0
phnP	P16692	252	0	-	0	0	0	0	0
pdxA	P19624	329	0	-	0	0	0	0	0
speC	P21169	711	0	-	0	0	0	0	0
fadB	P21177	729	0	-	0	0	0	0	0
yciC	P21365	247	0	-	0	0	0	0	0
