Gene stable ID	Transcript stable ID	UniProtKB/Swiss-Prot ID	UniProtKB generic accession number (TrEMBL or SwissProt not differentiated) ID	Gene start (bp)	Gene end (bp)
YPL071C	YPL071C_mRNA	Q02864	Q02864	420048	420518
YPL071C	YPL071C_mRNA	Q02864	A0A6A5Q2T0	420048	420518
YLL050C	YLL050C_mRNA	Q03048	Q03048	39804	40414
YMR172W	YMR172W_mRNA	Q03213	A0A8H4BWJ9	605981	608140
YMR172W	YMR172W_mRNA	Q03213	Q03213	605981	608140
YOR185C	YOR185C_mRNA	P32836	P32836	681444	682106
YOR185C	YOR185C_mRNA	P32836	A0A6A5Q2S8	681444	682106
YLL032C	YLL032C_mRNA	Q07834	A0A8H4BZ60	74270	76747
YLL032C	YLL032C_mRNA	Q07834	Q07834	74270	76747
YBR225W	YBR225W_mRNA	P38321	P38321	670627	673329
YBR225W	YBR225W_mRNA	P38321	A0A8H4F7W7	670627	673329
YEL041W	YEL041W_mRNA	P32622	A0A8H8ULH3	75944	77431
YEL041W	YEL041W_mRNA	P32622	P32622	75944	77431
YOR237W	YOR237W_mRNA	P35843	P35843	781994	783298
YOR237W	YOR237W_mRNA	P35843	A0A8H4BX72	781994	783298
YMR027W	YMR027W_mRNA	Q04371	Q04371	325877	327289
YBR182C-A	YBR182C-A_mRNA	Q8TGU6	A0A8H4BTL8	595361	595555
YBR182C-A	YBR182C-A_mRNA	Q8TGU6	Q8TGU6	595361	595555
YKL103C	YKL103C_mRNA	P14904	P14904	246138	247682
YKL103C	YKL103C_mRNA	P14904	A0A8H4C0C1	246138	247682
YOL048C	YOL048C_mRNA	Q08219	Q08219	240204	241310
YIR015W	YIR015W_mRNA	P40571	P40571	381948	382382
YIR015W	YIR015W_mRNA	P40571	A0A6A5Q409	381948	382382
YNR017W	YNR017W_mRNA	P32897	A0A6A5Q5E3	662913	663581
YNR017W	YNR017W_mRNA	P32897	P32897	662913	663581
YBL055C	YBL055C_mRNA	P34220	P34220	115573	116829
YBL055C	YBL055C_mRNA	P34220	A0A8H4BU19	115573	116829
YML089C	YML089C_mRNA	Q04502	Q04502	91041	91409
YOL144W	YOL144W_mRNA	Q08287	A0A8H4BVM2	53098	54552
YOL144W	YOL144W_mRNA	Q08287	Q08287	53098	54552
YDL246C	YDL246C_mRNA	Q07786	Q07786	8683	9756
YDL246C	YDL246C_mRNA	Q07786	A0A8H8UM58	8683	9756
YDL243C	YDL243C_mRNA	Q07747	Q07747	17577	18566
YDL243C	YDL243C_mRNA	Q07747	A0A8H8UM61	17577	18566
YDR387C	YDR387C_mRNA	Q04162	Q04162	1248154	1249821
YDR387C	YDR387C_mRNA	Q04162	A0A8H8UNT4	1248154	1249821
YMR290C	YMR290C_mRNA	Q03532	Q03532	850074	851591
YMR290C	YMR290C_mRNA	Q03532	A0A6A5PVN3	850074	851591
YOR082C	YOR082C_mRNA	Q08498	Q08498	479296	479637
YCR031C	YCR031C_mRNA	P06367	P06367	177500	178220
YBR293W	YBR293W_mRNA	P38358	P38358	787006	788430
YBR293W	YBR293W_mRNA	P38358	A0A8H4BUA6	787006	788430
YJL160C	YJL160C_mRNA	P46999	P46999	117962	118825
YJL160C	YJL160C_mRNA	P46999	A0A6L1B8M5	117962	118825
YBR223W-A	YBR223W-A_mRNA	Q8TGQ3	Q8TGQ3	668721	668840
YMR139W	YMR139W_mRNA	P38615	P38615	546125	547237
YMR139W	YMR139W_mRNA	P38615	A0A6L0ZE44	546125	547237
YNL105W	YNL105W_mRNA	P50943	P50943	424155	424583
YDL094C	YDL094C_mRNA	Q07509	Q07509	289572	290081
YDR438W	YDR438W_mRNA	Q04083	A0A8H8UNX6	1338274	1339386
YDR438W	YDR438W_mRNA	Q04083	Q04083	1338274	1339386
YDR523C	YDR523C_mRNA	P08458	P08458	1485566	1487038
YDR523C	YDR523C_mRNA	P08458	A0A6A5Q2G4	1485566	1487038
YDR542W	YDR542W_mRNA	Q03050	A0A8H8UP69	1523249	1523611
YDR542W	YDR542W_mRNA	Q03050	Q03050	1523249	1523611
YIL156W-A	YIL156W-A_mRNA	A0A023PXG3	A0A023PXG3	47292	47693
YLR466W	YLR466W_mRNA	O13559	O13559	1067087	1071235
YPL208W	YPL208W_mRNA	Q08961	A0A8H4BVM8	157842	159593
YPL208W	YPL208W_mRNA	Q08961	Q08961	157842	159593
YLR054C	YLR054C_mRNA	Q12202	Q12202	248717	250978
YER011W	YER011W_mRNA	P10863	P10863	175248	176012
YLR437C	YLR437C_mRNA	O13577	O13577	1011622	1012023
YLR437C	YLR437C_mRNA	O13577	A0A8H4BXM7	1011622	1012023
YPL102C	YPL102C_mRNA	O13517	O13517	360003	360305
YNR069C	YNR069C_mRNA	P53755	A0A8H4BX01	761123	762592
YNR069C	YNR069C_mRNA	P53755	P53755	761123	762592
YDR492W	YDR492W_mRNA	Q03419	Q03419	1434924	1435874
YDR492W	YDR492W_mRNA	Q03419	A0A6A5PZD0	1434924	1435874
YIL115W-A	YIL115W-A_mRNA	A0A023PZJ9	A0A023PZJ9	144268	144639
YMR191W	YMR191W_mRNA	P42933	P42933	645656	646777
YMR191W	YMR191W_mRNA	P42933	A0A8H4FBB4	645656	646777
YIL086C	YIL086C_mRNA	P40503	A0A8H4FB22	200153	200461
YIL086C	YIL086C_mRNA	P40503	P40503	200153	200461
YOL072W	YOL072W_mRNA	Q08231	Q08231	194970	196337
YOL072W	YOL072W_mRNA	Q08231	A0A8H4BWR8	194970	196337
YOR114W	YOR114W_mRNA	Q12219	A0A8H4F8S3	537570	538454
YOR114W	YOR114W_mRNA	Q12219	Q12219	537570	538454
YIL156W-B	YIL156W-B_mRNA	Q2V2P4	Q2V2P4	47690	47973
YHR094C	YHR094C_mRNA	P32465	A0A8H4C235	290913	292625
YHR094C	YHR094C_mRNA	P32465	P32465	290913	292625
YOL085C	YOL085C_mRNA	Q99345	Q99345	161673	162014
YOL085C	YOL085C_mRNA	Q99345	A0A8H4BUI5	161673	162014
YFL031C-A	YFL031C-A_mRNA	Q8TGU3	Q8TGU3	76014	76115
YHL031C	YHL031C_mRNA	P38736	A0A8H4BZJ0	38815	39486
YHL031C	YHL031C_mRNA	P38736	P38736	38815	39486
YOR385W	YOR385W_mRNA	Q08909	Q08909	1065043	1065915
YOR385W	YOR385W_mRNA	Q08909	A0A8H4BVC6	1065043	1065915
YGL087C	YGL087C_mRNA	P53152	P53152	346406	346904
YMR244C-A	YMR244C-A_mRNA	Q3E846	Q3E846	758517	758831
YMR244C-A	YMR244C-A_mRNA	Q3E846	A0A8H4BXL2	758517	758831
YNL306W	YNL306W_mRNA	P42847	A0A8H4BVF5	58155	58808
YNL306W	YNL306W_mRNA	P42847	P42847	58155	58808
YOR214C	YOR214C_mRNA	Q12282	A0A8H4BVZ6	745593	746303
YOR214C	YOR214C_mRNA	Q12282	Q12282	745593	746303
YAL037W	YAL037W_mRNA	P39728	P39728	74020	74823
YAL037W	YAL037W_mRNA	P39728	A0A8H4BYW8	74020	74823
YLR217W	YLR217W_mRNA	O13532	O13532	572909	573232
YLL056C	YLL056C_mRNA	Q12177	A0A6L0ZRK4	27409	28305
YLL056C	YLL056C_mRNA	Q12177	Q12177	27409	28305
YOL119C	YOL119C_mRNA	Q08268	A0A8H4BVD2	94856	96361
YOL119C	YOL119C_mRNA	Q08268	Q08268	94856	96361
YJL204C	YJL204C_mRNA	P39531	A0A8H4BY80	50629	53151
YJL204C	YJL204C_mRNA	P39531	P39531	50629	53151
YAL016W	YAL016W_mRNA	P31383	P31383	124879	126786
YAL016W	YAL016W_mRNA	P31383	A0A7I9CBP3	124879	126786
YIL146C	YIL146C_mRNA	P40458	P40458	74184	75773
YIL146C	YIL146C_mRNA	P40458	A0A8H4C1J4	74184	75773
YCL011C	YCL011C_mRNA	P25555	P25555	102075	103358
YCL011C	YCL011C_mRNA	P25555	A0A8H4BUK7	102075	103358
YLR128W	YLR128W_mRNA	Q12395	Q12395	398530	399433
YKL131W	YKL131W_mRNA	P36067	P36067	194478	194999
YDR018C	YDR018C_mRNA	Q12185	Q12185	482670	483860
YDR018C	YDR018C_mRNA	Q12185	A0A8H8UMT8	482670	483860
YOR019W	YOR019W_mRNA	Q99248	Q99248	368127	370319
YOR019W	YOR019W_mRNA	Q99248	A0A8H4BVM6	368127	370319
YNL288W	YNL288W_mRNA	P53829	P53829	90303	91424
YNL288W	YNL288W_mRNA	P53829	A0A8H4BXL0	90303	91424
YCL040W	YCL040W_mRNA	P17709	A0A6A5Q373	50838	52340
YCL040W	YCL040W_mRNA	P17709	P17709	50838	52340
YER158W-A	YER158W-A_mRNA	Q8TGR3	Q8TGR3	491487	491702
YNL191W	YNL191W_mRNA	P53871	A0A6A5Q757	280432	281505
YNL191W	YNL191W_mRNA	P53871	P53871	280432	281505
