Genename	UniProtID	Length	Hk	genelength
B0348.10	A0A0K3ARQ1	54	0	164
npr-4	A0A0K3AYF5	490	0	14706
CELE_T28F4.8	A0A1T5HUJ5	63	0	534
pes-8	A0A4V0INE6	464	0	3990
CELE_Y37F4.6	A4GZJ4	517	0	5094
cwp-5	B6VQ87	679	0	7847
CELE_F26B1.1	C7FZT0	166	0	1347
alkb-1	E0DBL0	359	1	7905
CELE_W03H9.2	F5GUG5	164	0	1220
CELE_ZC247.1	G5EBP5	4389	1	14928
C47F8.3	G5ECA6	345	0	1495
pqn-79	G5ECQ7	335	0	1075
AC8.3	G5EDW3	374	0	1394
kel-1	G5EGS4	618	0	7116
CELE_D2024.5	H2KYI0	166	0	1037
idh-1	H9G2T4	435	0	2029
C42C1.3	L8EC38	206	0	999
ZK1073.1	O02485	325	0	4923
tig-2	O16273	366	0	3440
cest-30	O16490	578	0	2767
abu-7	O16502	438	0	1512
CELE_K09F6.6	O16732	587	0	2563
str-9	O17896	351	0	1716
srbc-75	O17957	284	0	976
nhr-178	O44635	421	0	4047
cyp-34a6	O44656	498	0	3175
CELE_F54D12.7	O44831	288	0	2145
CELE_F54D12.2	O44834	286	0	1390
CELE_M01E5.2	O45691	358	0	2559
srx-43	O45767	319	0	2095
suco-1	O61794	802	1	3317
ntr-2	O62169	398	0	3980
knl-3	O76406	343	0	1345
emb-9	P17139	1759	0	7566
C14B9.3	P34330	348	0	2423
dpf-6	P34422	740	0	3088
emb-5	P34703	1521	1	5377
D1044.5	P41953	68	0	-
tif-1A	P48322	654	1	4828
CELE_K07A1.10	P90915	205	0	1141
CELE_F27C1.6	P91280	647	1	7147
clec-19	P91292	414	0	1449
CELE_T16A1.5	P91445	41	0	125
CELE_T28A11.17	P91515	493	0	2807
CELE_T28A11.3	P91521	198	0	777
lin-3	Q03345	438	0	9460
cyn-9	Q09637	309	0	1819
dom-3	Q10660	393	0	1483
B0302.4	Q10927	31	0	287
nhr-35	Q17771	542	0	4855
C18E9.7	Q18096	893	0	4308
nmur-1	Q18701	400	0	4087
C52B11.5	Q18773	238	0	2628
CELE_D1014.4	Q18922	180	0	1762
CELE_D1022.3	Q18925	245	0	1094
scc-1	Q19325	645	0	2273
sra-29	Q19552	348	0	1369
CELE_F21C10.9	Q19661	317	0	1495
gcy-13	Q19768	1028	0	5783
CELE_Y37E3.19	Q1EPL3	159	0	1500
cubn-1	Q20911	4047	0	17420
pfn-3	Q21193	126	0	1219
CELE_K05G3.1	Q21251	203	0	611
lido-6	Q21396	319	0	2257
CELE_R07E4.3	Q21817	90	0	272
snpc-3.4	Q22092	418	0	1846
sre-28	Q22284	360	0	1502
mrpl-50	Q22623	285	0	1099
asp-13	Q22972	389	0	1591
cyp-33b1	Q27471	496	0	2347
nspf-1	Q4W510	87	0	263
gale-1	Q564Q1	349	0	8548
C32D5.8	Q65ZJ7	167	0	2911
gly-4	Q8I136	589	0	13978
lst-4	Q8I4E2	566	0	8860
CELE_R10E8.8	Q8I4G7	294	0	3561
C31E10.6	Q93314	591	0	3013
tbc-18	Q94222	826	0	4154
C04G6.11	Q95QY0	131	0	493
nduv-3	Q95XG6	83	0	803
scc-2	Q95XZ5	2176	1	22958
cest-32	Q95YC4	545	0	3416
srb-1	Q95ZY0	341	0	1201
CELE_ZK105.1	Q965Z4	186	0	707
mul-1	Q9GZE3	259	0	1824
CELE_Y52E8A.1	Q9N3H5	132	0	490
fbxb-42	Q9N3J6	319	0	1044
srg-50	Q9N3X5	300	0	1133
ccep-135	Q9N5N7	456	0	8596
CELE_F55A3.2	Q9N5R8	773	0	4658
tag-275	Q9N5X7	472	0	8560
spe-9	Q9TVY6	661	0	3326
CELE_Y51H4A.13	Q9U261	547	0	4694
men-1	Q9U296	620	1	7765
sre-47	Q9U2J1	372	0	1254
irld-49	Q9U8C9	431	0	2357
rpb-11	Q9XVH6	122	0	539
CELE_Y47H9B.2	Q9XWZ8	317	0	3282
CELE_Y51B9A.9	Q9XXC0	381	0	2103
Y48A6B.9	Q9XXC8	346	0	2916
CELE_F45D11.11	A0A0S4XR53	288	0	924
somi-1	A0A486WWJ9	582	0	5337
CELE_Y48E1C.2	A0A7R9SUM5	372	0	4432
CELE_R01H2.7	A0T4E6	215	0	10597
fbxa-50	A4F334	311	0	1224
C06B3.16	C4ALD7	74	0	851
CELE_F37C12.10	C8JQP1	126	0	543
CELE_F25D1.8	E2JKZ9	50	0	511
calu-1	G5EBH7	314	0	1384
bus-12	G5ECW1	315	0	2890
str-267	G5ECX6	340	0	2942
exos-7	G5EDS8	312	0	2717
btf-1	G5EF07	1649	0	15541
CELE_T12D8.9	G5EFT0	1183	0	4340
B0507.3	H2KYB0	432	0	1964
CELE_F25E5.8	H2KYV5	235	0	1028
tres-1	H2KZ16	873	1	8664
kcc-2	H2KZC3	1129	0	33531
kgb-2	H2KZI0	332	0	2445
C50A2.7	I2HAK3	142	0	1320
C05A2.4	K8F7Y3	43	0	131
CELE_F18A11.2	O01324	388	0	4907
CELE_F48C1.5	O01571	124	0	633
cpg-22	O01603	583	0	5109
CELE_ZC196.2	O01630	345	0	2875
srx-97	O02071	317	0	2263
CELE_F35E12.6	O02358	350	0	1938
C05C8.8	O16316	439	0	2951
nhr-157	O16388	366	0	2449
pqbp-1.1	O16786	280	0	1694
igdb-1	O18016	1029	0	3415
CELE_W04G5.5	O18170	412	0	2297
CELE_F48G7.13	O44583	231	0	1591
sdz-20	O45547	276	0	2573
CELE_H08M01.1	O45610	342	0	2104
trx-5	O61985	142	0	523
dhhc-1	O62144	295	0	2353
tut-1	O76365	373	0	2451
npr-30	O76667	396	0	8634
ced-4	P30429	549	0	2846
C23H3.5	P91078	403	0	2524
let-381	P91278	362	0	3730
C32D5.4	Q09264	369	0	1739
C09G5.7	Q09458	395	0	1574
metr-1	Q09582	1249	0	4517
cyb-3	Q10654	385	0	1657
tmc-2	Q11069	1203	0	-
srtx-1	Q17519	355	0	1301
C15C8.6	Q18021	316	0	1838
C15H9.3	Q18029	314	0	2370
C25G6.3	Q18176	578	0	5810
pdl-1	Q18268	159	0	1493
srlf-3	Q18280	235	0	1007
C42D8.1	Q18582	252	0	2920
dsb-1	Q19220	385	0	1545
srm-4	Q20522	349	0	1390
CELE_F58E6.5	Q20981	304	0	1136
ifc-2	Q21067	622	0	12748
apr-1	Q21227	1188	0	5438
let-99	Q21341	698	0	2780
cor-1	Q21624	607	0	5598
nrde-3	Q21691	1057	0	4665
CELE_R31.2	Q22015	489	0	7080
twk-21	Q22042	581	0	4299
dhs-19	Q22392	307	0	1434
CELE_ZC443.1	Q23320	320	0	1658
CELE_ZK856.6	Q23641	178	0	1518
let-653	Q27394	812	0	5469
fbxa-55	Q2WF55	317	0	2665
tbcc-1	Q3V5J2	303	0	4532
CELE_Y77E11A.16	Q3V5K2	343	0	4415
acr-25	Q65XS8	544	0	4174
col-87	Q7YTG4	548	0	4839
CELE_M01F1.8	Q7YXB7	328	0	3179
dnj-20	Q8MPX3	355	0	6707
CELE_F23A7.1	Q93553	62	0	188
blmp-1	Q93560	817	0	5471
vps-13a	Q94010	3212	0	11157
CELE_R13A1.5	Q95ZQ7	155	0	789
CELE_ZK616.5	Q965Z2	197	0	1649
CELE_R13H9.6	Q966G1	380	0	1321
CELE_F12E12.1	Q9BLB9	122	0	595
CELE_Y32G9A.3	Q9BPM8	142	0	2217
CELE_Y92H12BR.2	Q9BPN9	177	0	1890
C05D9.3	Q9GYK2	423	0	4952
clec-174	Q9N3W8	456	0	1449
col-109	Q9N527	291	0	2861
mdt-17	Q9NAL4	667	0	16441
CELE_F54C4.4	Q9TZ91	119	0	704
meg-4	Q9TZK8	832	0	3465
sld-5	Q9U2W9	224	0	2940
cdk-4	Q9XTR1	406	0	-
CELE_Y18D10A.21	Q9XW04	286	0	1743
CELE_Y54E2A.4	Q9XWI1	2017	0	23527
ing-3	Q9XWJ8	490	1	6551
CELE_Y39A1A.18	Q9XX29	139	0	2631
CELE_Y106G6D.1	Q9XX63	239	0	1429
clec-239	Q9XX76	200	0	1548
ceh-89	Q9XX95	175	0	2943
egrh-2	U4PBA8	294	0	6068
CELE_T10B5.4	A0A0K3ASB6	237	0	1387
aat-3	A0A0K3AVL7	529	0	5476
